query,category
What do you think is the most important political issue at the moment?,politics
Do you enjoy debating politics with your friends? Do they have similar views to yours?,politics
Do you think people�s political views change over their lifetime?,politics
Do you think too much money is spent on political campaigns?,politics
Where does the money for campaigns come from in your country?,politics
What is the biggest political issue in your country right now?,politics
What do you think of your country�s political system?,politics
What say if any should religious organisations have in politics?,politics
Newspapers typically devote many pages to politics. What do you think about it?,politics
In the US and sometimes in the UK actors or actresses get involved in politics. Does this happen in your country?,politics
What do you think of your country�s politicians?,politics
Would you like to be a politician? Why not?,politics
Why do you think people get involved in politics?,politics
In general what is your opinion of the politicians in your country?,politics
Do you think that politicians are in general honest?,politics
What percentage of politicians are corrupt?,politics
Apart from government ministers - what do you think that most politicians actually do all day in parliament?,politics
Should citizens be made to take some form of intelligence or general knowledge test before being allowed to vote?,politics
It's often said that elections are lost never won. Do you agree?,politics
Can you think of any examples in the recent history of your country?,politics
Did you vote in the last election? Are you going to vote in the next one?,politics
"People sometimes say ""If you don't vote you have no right to complain about a government."" What do you think?",politics
Do you vote positively for a candidate?,politics
Is not voting a political statement?,politics
How old were you when you first voted?,politics
What is the minimum voting age in your country?,politics
How do you decide your vote?,politics
Do you always vote for the same party?,politics
How long is the term of elected officials in your country?,politics
Voter turnout is generally low. How could more people be persuaded to vote?,politics
Is voting an important responsibility of a citizen? Should it be legally required?,politics
Should a person be required to prove citizenship prior to casting their vote?,politics
Is there a little difference between nationalism and racism?,politics
About how many different color foods did you eat for dinner last night?,food
Do you think about color when you are preparing a meal?,food
Are there any foods that you wouldn't eat as a child that you eat now?,food
Are you a good cook?,food
Are you a vegetarian?,food
Are you concerned about your daily calorie intake when choosing something to eat?,food
At what times do you usually eat your meals?,food
Breakfast?,food
Lunch?,food
Dinner?,food
Can you cook well?,food
Did you drink coffee this morning?,food
Did you eat lunch today?,food
Do you always eat dinner with your family?,food
Do you always eat vegetables?,food
Do you cook? If yes what food do you cook the most often?,food
Do you drink milk every day?,food
Do you drink tea every day?,food
Do you eat beef?,food
Do you eat bread every day?,food
Do you eat breakfast every day?,food
Do you eat fruit every day?,food
Do you eat lunch at school every day?,food
How much does lunch usually cost at school?,food
Do you bring your lunch to school?,food
Do you eat rice every day?,food
Do you ever skip breakfast? If so how often and why?,food
Do you have a favorite cafe? If so where is it? Why do you like it?,food
